pool,field0_hex,candidate_rank,xml_tag,files_tested,both_nonzero,nonzero_exact,all_file_exact_rate,pearson,score
details,0x03ef,1,acciAlter,324,85,46,0.8796,0.974626,2.854256
details,0x03ef,2,secBeamBreak,324,43,1,0.7284,0.639338,1.417733
details,0x03ef,3,measTextAssign,324,10,0,0.7315,0.634161,1.365642
details,0x03f0,1,entrySize,324,33,33,1.0000,1.000000,3.000000
details,0x03f0,2,staffSize,324,22,0,0.8210,0.474349,1.295337
details,0x03f0,3,measNumbIndivPos,324,5,0,0.8765,0.379267,1.255810
details,0x03f1,1,articAssign,324,173,64,0.6636,0.998473,2.662053
details,0x03f1,2,smartShapeEntryMark,324,150,3,0.4198,0.747257,1.317010
details,0x03f1,3,beamAltPrimDownStem,324,124,1,0.4383,0.803966,1.292237
details,0x03f2,1,baselinesChords,324,323,323,1.0000,1.000000,3.000000
details,0x03f2,2,baselinesExprAboveStaff,324,323,314,0.9691,-0.011675,1.957461
details,0x03f2,3,baselinesExprBelowStaff,324,323,289,0.8920,-0.026386,1.865590
details,0x03f3,1,baselinesExprAboveStaff,324,324,324,1.0000,1.000000,3.000000
details,0x03f3,2,baselinesExprBelowStaff,324,324,296,0.9136,0.398863,2.312443
details,0x03f3,3,baselinesChords,324,323,314,0.9691,-0.011675,1.957461
details,0x03f4,1,baselinesExprBelowStaff,324,324,324,1.0000,1.000000,3.000000
details,0x03f4,2,baselinesExprAboveStaff,324,324,296,0.9136,0.398863,2.312443
details,0x03f4,3,baselinesChords,324,323,289,0.8920,-0.026386,1.865590
details,0x03f5,1,baselinesFingerboards,324,145,145,1.0000,1.000000,3.000000
details,0x03f5,2,shapeNote,324,140,140,0.9846,0.969165,2.953733
details,0x03f5,3,activeLyric,324,141,141,0.9506,0.901769,2.852386
details,0x03f6,1,baselinesChords,324,323,319,0.9877,0.191978,2.179632
details,0x03f6,2,baselinesExprAboveStaff,324,323,318,0.9815,0.006966,1.988448
details,0x03f6,3,baselinesExprBelowStaff,324,323,293,0.9043,0.015744,1.920065
details,0x03f7,1,baselinesChords,324,323,305,0.9444,0.031315,1.975759
details,0x03f7,2,baselinesExprAboveStaff,324,323,304,0.9383,-0.023763,1.914509
details,0x03f7,3,baselinesExprBelowStaff,324,323,279,0.8611,-0.053707,1.807405
details,0x03f8,1,baselinesExprAboveStaff,324,324,303,0.9352,0.101736,2.036922
details,0x03f8,2,baselinesExprBelowStaff,324,324,280,0.8642,-0.010520,1.853677
details,0x03f8,3,baselinesChords,324,323,298,0.9198,-0.092484,1.827269
details,0x03fd,1,beamExtendDownStem,324,60,60,1.0000,1.000000,3.000000
details,0x03fd,2,beamExtendUpStem,324,53,34,0.9136,0.976720,2.890300
details,0x03fd,3,stemDefDown,324,39,5,0.8086,0.809636,1.868278
details,0x03fe,1,beamExtendUpStem,324,55,54,0.9969,0.999967,2.996881
details,0x03fe,2,beamExtendDownStem,324,53,34,0.9136,0.976577,2.890157
details,0x03fe,3,stemDefUp,324,38,3,0.7870,0.866052,1.803089
details,0x03ff,1,beamStemAdjust,324,42,42,1.0000,1.000000,3.000000
details,0x03ff,2,stemDefUp,324,31,3,0.8056,0.555767,1.511323
details,0x03ff,3,stemDefDown,324,27,2,0.8179,0.557500,1.475402
