saving_product,files,zlib-members,non-zlib-low-entropy,non-zlib-other,zlib_members,framed_members,framed_records
2000,92,0,91,1,0,0,0
2001,4,0,3,1,0,0,0
2002,48,0,47,1,0,0,0
2003,168,0,168,0,0,0,0
2004,7,0,7,0,0,0,0
2004b,13,0,6,7,0,0,0
2005,120,0,116,4,0,0,0
2006,66,0,63,3,0,0,0
2007,108,108,0,0,432,96,191555
2008,182,182,0,0,728,258,463364
2009,5,5,0,0,20,10,6537
2010,4,4,0,0,16,8,16731
2012,248,248,0,0,992,334,914758
3.0,3,0,0,3,0,0,0
3.2,3,0,3,0,0,0,0
3.5,2,0,2,0,0,0,0
3.7,20,1,19,0,1,0,0
97,70,0,69,1,0,0,0
unknown,55,0,0,55,0,0,0
